OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
58712,GO-20246083,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,20,2024,January,1,1,Monday    ,20,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,167,Church-Wellesley (167),75,Church-Yonge Corridor (75),-79.38347995,43.6639921,-8836928.565,5413590.576
58713,GO-20242942,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,12,2024,January,1,1,Monday    ,12,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),-79.41111742,43.71034088,-8840005.155,5420725.643
58714,GO-20243890,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,13,2024,January,1,1,Monday    ,2,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,99,Mount Pleasant East (99),99,Mount Pleasant East (99),-79.38024948,43.70065875,-8836568.951,5419234.692
58715,GO-20242650,1/1/2024 5:00:00 AM,12/31/2023 5:00:00 AM,2024,January,1,1,Monday    ,13,2023,December,31,365,Sunday    ,23,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,22,Humbermede (22),22,Humbermede (22),-79.5323829,43.74917338,-8853504.366,5426707.88
58716,GO-20242844,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,15,2024,January,1,1,Monday    ,2,D12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,23,Pelmo Park-Humberlea (23),23,Pelmo Park-Humberlea (23),-79.50823774,43.71194055,-8850816.539,5420971.998
58717,GO-20246669,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,22,2024,January,1,1,Monday    ,20,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,42,Banbury-Don Mills (42),42,Banbury-Don Mills (42),-79.35087175,43.75495561,-8833298.637,5427598.978
58718,GO-20245709,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,19,2024,January,1,1,Monday    ,16,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,159,Etobicoke City Centre (159),14,Islington-City Centre West (14),-79.51601273,43.61935103,-8851682.047,5406723.605
58720,GO-20242485,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,8,2024,January,1,1,Monday    ,0,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,65,Greenwood-Coxwell (65),65,Greenwood-Coxwell (65),-79.32739261,43.66944637,-8830684.952,5414429.936
58721,GO-20242402,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,7,2024,January,1,1,Monday    ,2,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,64,Woodbine Corridor (64),64,Woodbine Corridor (64),-79.31288994,43.67551661,-8829070.521,5415364.178
58722,GO-20244985,1/1/2024 5:00:00 AM,12/13/2023 5:00:00 AM,2024,January,1,1,Monday    ,19,2023,December,13,347,Wednesday ,12,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.30933407,43.74091383,-8828674.684,5425435.153
